clf,n_estimators,max_tree_depth,accuracy
random forest,2,2,0.7872340425531915
random forest,2,3,0.6055646481178396
random forest,2,4,0.6873977086743044
random forest,2,5,0.6579378068739771
random forest,2,6,0.8085106382978723
random forest,10,2,0.7463175122749591
random forest,10,3,0.6939443535188216
random forest,10,4,0.6890343698854338
random forest,10,5,0.7184942716857611
random forest,10,6,0.7299509001636661
random forest,20,2,0.8117839607201309
random forest,20,3,0.762684124386252
random forest,20,4,0.7446808510638298
random forest,20,5,0.7463175122749591
random forest,20,6,0.7250409165302782
random forest,50,2,0.8576104746317512
random forest,50,3,0.779050736497545
random forest,50,4,0.7774140752864157
random forest,50,5,0.7577741407528642
random forest,50,6,0.7528641571194763
random forest,100,2,0.8919803600654664
random forest,100,3,0.7806873977086743
random forest,100,4,0.7823240589198036
random forest,100,5,0.7643207855973814
random forest,100,6,0.7561374795417348
random forest,150,2,0.8936170212765957
random forest,150,3,0.779050736497545
random forest,150,4,0.7806873977086743
random forest,150,5,0.7643207855973814
random forest,150,6,0.7561374795417348
random forest,300,2,0.8936170212765957
random forest,300,3,0.7774140752864157
random forest,300,4,0.7757774140752864
random forest,300,5,0.7594108019639935
random forest,300,6,0.7463175122749591
Gradient Boosting,2,2,0.6481178396072013
Gradient Boosting,2,3,0.646481178396072
Gradient Boosting,2,4,0.6121112929623568
Gradient Boosting,2,5,0.6579378068739771
Gradient Boosting,2,6,0.6317512274959084
Gradient Boosting,10,2,0.7463175122749591
Gradient Boosting,10,3,0.6366612111292962
Gradient Boosting,10,4,0.6923076923076923
Gradient Boosting,10,5,0.6563011456628478
Gradient Boosting,10,6,0.679214402618658
Gradient Boosting,20,2,0.7021276595744681
Gradient Boosting,20,3,0.6595744680851063
Gradient Boosting,20,4,0.690671031096563
Gradient Boosting,20,5,0.662847790507365
Gradient Boosting,20,6,0.6235679214402619
Gradient Boosting,50,2,0.7021276595744681
Gradient Boosting,50,3,0.6563011456628478
Gradient Boosting,50,4,0.6497545008183306
Gradient Boosting,50,5,0.6612111292962357
Gradient Boosting,50,6,0.6317512274959084
Gradient Boosting,100,2,0.7201309328968903
Gradient Boosting,100,3,0.67430441898527
Gradient Boosting,100,4,0.6481178396072013
Gradient Boosting,100,5,0.6939443535188216
Gradient Boosting,100,6,0.6661211129296236
Gradient Boosting,150,2,0.690671031096563
Gradient Boosting,150,3,0.6644844517184942
Gradient Boosting,150,4,0.6481178396072013
Gradient Boosting,150,5,0.6939443535188216
Gradient Boosting,150,6,0.6661211129296236
Gradient Boosting,300,2,0.6841243862520459
Gradient Boosting,300,3,0.6644844517184942
Gradient Boosting,300,4,0.6481178396072013
Gradient Boosting,300,5,0.6939443535188216
Gradient Boosting,300,6,0.6661211129296236
